k,h=0.1,h=0.05
0.0,0.5,0.5
1.0,0.525,0.5125
2.0,0.5454545454545454,0.5238095238095238
3.0,0.5701357466063348,0.5362663495838288
4.0,0.5901639344262295,0.5475113122171946
5.0,0.6141348497156783,0.559869089267577
6.0,0.6334310850439882,0.5709995709995711
7.0,0.6563449573144263,0.5832041978818223
8.0,0.6746486205101508,0.5941723144352908
9.0,0.6962216366938682,0.6061723894530947
10.0,0.7133290523805155,0.6169330897027785
11.0,0.7333509976602253,0.6286807378894461
12.0,0.7491209197026379,0.6391924983790724
13.0,0.767457981860352,0.6506440721407092
14.0,0.7818109204856154,0.6608694676067772
15.0,0.7984016364999688,0.671986101973763
16.0,0.8113142382939956,0.6818922383172626
17.0,0.8261604006257489,0.6926402500041005
18.0,0.837656548958712,0.7021990537016974
19.0,0.8508111797303246,0.7125501814242917
20.0,0.860951522516132,0.7217385466257997
21.0,0.8725058665484469,0.7316700377524017
22.0,0.8813772158414186,0.7404698387634429
23.0,0.8914482706796445,0.7499643938886923
24.0,0.8991539057900654,0.7583623760108832
25.0,0.9078734766622734,0.7674079681106183
26.0,0.9145249506789835,0.7753955336846403
27.0,0.9220307241669513,0.7839851219734222
28.0,0.9277414077767955,0.7915580308739198
29.0,0.9341701525501487,0.7996891913487284
30.0,0.9390504854611185,0.8068471961789561
31.0,0.9445332323159275,0.8145216912244715
32.0,0.948687492480417,0.8212681272209176
33.0,0.9533464062556318,0.8284914358015145
34.0,0.9568707319182207,0.8348327842191784
35.0,0.9608173365358467,0.8416136123713057
36.0,0.9637987208194034,0.8475590541449001
37.0,0.9671331452953695,0.8539088430084241
38.0,0.9696491440478875,0.8594698170397592
39.0,0.9724600960759997,0.8654022628118155
40.0,0.9745790286667232,0.8705920405619317
41.0,0.9769442545609518,0.8761226377702904
42.0,0.9787257217526926,0.88095592314089
43.0,0.98071276520485,0.8861015397164501
44.0,0.9822083507110017,0.8905941006470444
45.0,0.9838754714092264,0.895372590575233
46.0,0.9851295305630038,0.8995409264711688
47.0,0.986526684363824,0.9039707834174736
48.0,0.9875771532085812,0.9078318305270533
49.0,0.9887469676938324,0.9119318838156045
50.0,0.9896261488799676,0.9155027590221905
51.0,0.9906048524283363,0.9192919117145364
52.0,0.9913401514032956,0.9225896939030422
53.0,0.9921584315748557,0.9260867014656164
54.0,0.9927730287566162,0.9291282486421989
55.0,0.9934568081646304,0.9323515357749551
56.0,0.9939702611723281,0.9351533354303843
57.0,0.9945413873455665,0.9381208480136477
58.0,0.9949701628762398,0.9406988977836187
59.0,0.995447013956767,0.9434279865379348
60.0,0.9958049523291148,0.9457977019837421
61.0,0.9962029636550586,0.9483050342802483
62.0,0.9965016810051037,0.9504811805480066
63.0,0.9968337993493913,0.9527826768089769
64.0,0.9970830334243233,0.9547793209854956
65.0,0.9973601063856796,0.9568901122351314
66.0,0.9975680121824066,0.9587205933688892
67.0,0.9977991203066916,0.9606549966977131
68.0,0.9979725216849118,0.9623319106647459
69.0,0.9981652605821217,0.9641034196276218
70.0,0.9983098636182826,0.9656386162704957
71.0,0.9984705828047656,0.9672599035246993
72.0,0.9985911561588634,0.9686644937591506
73.0,0.9987251607104497,0.9701474235467159
74.0,0.9988256877286177,0.9714317944006051
75.0,0.9989374081530689,0.9727874427747365
76.0,0.9990212148739507,0.9739612785871985
77.0,0.999114349946803,0.97519995956617
78.0,0.9991842126482047,0.9762722678240088
79.0,0.9992618493318061,0.9774035639212078
80.0,0.9993200847624618,0.9783827044400609
81.0,0.9993847987579705,0.9794155002617754
82.0,0.9994333397552291,0.9803092166287878
83.0,0.999487279727284,0.9812517344500409
84.0,0.9995277385273906,0.9820671868316859
85.0,0.9995726965915498,0.9829270232544232
86.0,0.9996064177938735,0.9836708218377894
87.0,0.9996438884650128,0.9844549848055734
88.0,0.9996719933119619,0.9851332232847466
89.0,0.9997032227732119,0.9858481688750788
90.0,0.9997266461496531,0.986466457517565
