t,S_h=5,I_h=5,R_h=5,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
1.25,,,,,,,0.42105263157894735,0.30315789473684207,0.27578947368421053
2.5,,,,0.36363636363636365,0.29090909090909095,0.34545454545454546,0.35398230088495575,0.29618258034466693,0.34983511877037726
3.75,,,,,,,0.2986904780619704,0.2811795225341218,0.4201299994039077
5.0,0.2857142857142857,0.2571428571428571,0.45714285714285713,0.26666666666666666,0.25858585858585864,0.4747474747474748,0.2540452727527945,0.2606597822746382,0.48529494497256725
6.25,,,,,,,0.2184560768586951,0.2369991825349901,0.5445447406063147
7.5,,,,0.2015267175572519,0.2158172051301823,0.582656077312566,0.19027211677447467,0.21214651409536844,0.5975813691301568
8.75,,,,,,,0.1679971152835481,0.18753721246903599,0.6444656722474158
10.0,0.17391304347826086,0.18447204968944098,0.641614906832298,0.15871100945286723,0.172421942156378,0.668867048390755,0.15037190978665185,0.1641299343727458,0.6854981558406023
11.25,,,,,,,0.13638170917619455,0.1424961079865625,0.7211221828372428
12.5,,,,0.1305696653458233,0.13370885750894798,0.735721477145229,0.125228821850312,0.12291919624995604,0.7518519818997318
13.75,,,,,,,0.11629455136178696,0.10548277339078486,0.778222675247428
15.0,0.11902231668437832,0.11968138824166176,0.7612962950739598,0.11187184467258586,0.10160445212145695,0.7865237032059574,0.10910182446986451,0.09014040022616585,0.8007577753039695
16.25,,,,,,,0.10328308768219736,0.0767673096110664,0.8199496027067361
17.5,,,,0.0992646781274016,0.07614107911109415,0.8245942427615045,0.09855448597089297,0.06519672905789664,0.8362487849712102
18.75,,,,,,,0.09469582470453326,0.055244312259405084,0.8500598630360615
20.0,0.09161176011100915,0.07354597240751547,0.8348422674814753,0.0906380768979466,0.05651178689369942,0.8528501362083543,0.09153532104299325,0.04672385273675607,0.8617408262202505
21.25,,,,,,,0.08893811395601472,0.03945684785898769,0.8716050381849975
22.5,,,,0.08465786767667269,0.04166133074331556,0.873680801580012,0.08679763820283429,0.033277858889734495,0.8799245029074311
23.75,,,,,,,0.0850291457565829,0.02803708106878871,0.8869337731746283
25.0,0.07738362520137461,0.043887053658575,0.8787293211400503,0.08046739426834007,0.030567869434432113,0.888964736297228,0.0835648246544971,0.023601121736699593,0.8928340536088032
26.25,,,,,,,0.08235010290223128,0.019852674791172323,0.8977972223065963
27.5,,,,0.0775059062403978,0.022352904974916255,0.9001411887846862,0.08134083222139708,0.016689556377605212,0.9019696114009976
28.75,,,,,,,0.08050112715878625,0.014023409152172834,0.9054754636890409
30.0,0.06973271652197889,0.02576898116898536,0.9044983023090357,0.07539916818827257,0.016306428684694323,0.9082944031270334,0.07980169477325987,0.011778273230159385,0.9084200319965807
31.25,,,,,,,0.07921853381316978,0.009889147352199574,0.9108923188346306
32.5,,,,0.0738930044294885,0.011875061628985597,0.9142319339415261,0.07873191412560178,0.00830061363181406,0.9129674722425841
33.75,,,,,,,0.07832557019082331,0.006965566053274026,0.9147088637559027
35.0,0.06551225627618218,0.014994720707391032,0.9194930230164268,0.07281219283294744,0.008637248817017761,0.918550558350035,0.07798605953524376,0.005844061367082871,0.9161698790976733
36.25,,,,,,,0.07770224909021652,0.00490229744968809,0.9173954534600953
37.5,,,,0.07203446830030827,0.0062766488997712915,0.9216888827999206,0.07746490159675519,0.004111715954519528,0.9184233824487252
38.75,,,,,,,0.0772663408178252,0.00344822138675962,0.9192854377954152
40.0,0.06314514667994947,0.00868091515181187,0.9281739381682387,0.07147369915634295,0.004558278695824398,0.9239680221478328,0.07710017926341325,0.002891506352937247,0.9200083143836495
41.25,,,,,,,0.07696109582746692,0.002424471831106864,0.9206144323414263
42.5,,,,0.07106876013725259,0.0033088118099431755,0.9256224280528044,0.07684465351632849,0.002032731313796244,0.9211226151698754
43.75,,,,,,,0.07674714955748468,0.0017041882181120468,0.9215486622244033
45.0,0.06180386148591556,0.005011100172922892,0.9331850383411616,0.07077602943468463,0.002401028341674092,0.9268229422236414,0.07666549179008192,0.0014286767884118493,0.9219058314215063
46.25,,,,,,,0.07659709648145517,0.0011976576776308785,0.922205245840914
47.5,,,,0.0705642459915165,0.0017418745232281394,0.9276938794852554,0.07653980367925466,0.0010039603838651126,0.9224562359368803
48.75,,,,,,,0.07649180696432813,0.0008415656790333115,0.9226666273566386
50.0,0.06103917789860859,0.002887891880114932,0.9360729302212766,0.07041093721939265,0.0012634555302346564,0.9283256072503727,0.0764515950652567,0.0007054220624837855,0.9228429828722595
