t,S_h=5,I_h=5,R_h=5,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
0.625,,,,,,,,,,0.45260512246463735,0.30915257504934596,0.23829936777102054
1.25,,,,,,,0.4058368671311627,0.3181618241125882,0.276058374041253,0.40884799166962343,0.3138468699742538,0.2773751418412852
1.875,,,,,,,,,,0.368960075579828,0.31426806559113607,0.3168473322815095
2.5,,,,0.312946460338449,0.33605585938104626,0.35105474556550864,0.3257039382086601,0.31841477378849853,0.35595129148800386,0.3330828839151311,0.31076027073770024,0.35623528610281563
3.125,,,,,,,,,,0.30118788210373476,0.3038183865817259,0.39507401394864494
3.75,,,,,,,0.2618602795236307,0.302730829301403,0.43548436462743983,0.27310157432977145,0.29402891373825135,0.43295103857500794
4.375,,,,,,,,,,0.24854988954875684,0.28200915842080826,0.469523368882962
5.0,0.12844892857057405,0.37159672365742896,0.5000114130570008,0.18365740162483052,0.2976690456134643,0.5187435562468676,0.21344447647123727,0.2758658784970955,0.5107680857873143,0.22720191208901339,0.26835778253863285,0.5045233865946135
5.625,,,,,,,,,,0.20870557762610054,0.2536207272457576,0.5377572882342582
6.25,,,,,,,0.17778831161450354,0.24321270982759197,0.5790792611920101,0.19271332429517482,0.2382719174318345,0.5690987557477875
6.875,,,,,,,,,,0.17889842475446044,0.22270589012912023,0.5984800084969158
7.5,,,,0.11771377029691994,0.21618693519452276,0.6661747679610308,0.15184985899462863,0.20919127604708684,0.6390403916013154,0.16696388858029337,0.20723883922154862,0.6258818625952776
8.125,,,,,,,,,,0.1566460432927436,0.19211485880610293,0.6513239100763778
8.75,,,,,,,0.13299330973387652,0.17671525764023505,0.6903738494784156,0.14771464477593965,0.17751486153876575,0.674855492198063
9.375,,,,,,,,,,0.139970942771766,0.1635664056171228,0.6965478082275196
10.0,0.013931588546646473,0.11752769058405454,0.8686107243544615,0.08792133150644782,0.13996860242470338,0.7721885068244957,0.1192041065370888,0.14735834837919387,0.7335206263059773,0.1332447038871232,0.15035331582756595,0.7164872721845891
10.625,,,,,,,,,,0.12739084533953737,0.13792447563422117,0.734770087528381
11.25,,,,,,,0.10903160555235943,0.12174874183584375,0.7693032457179132,0.12228607392518924,0.12630150452539307,0.7514979311928879
11.875,,,,,,,,,,0.1178257469215805,0.1154852478456541,0.7667746030932232
12.5,,,,0.07411852391225142,0.08605839185767192,0.8399033668641822,0.10145655283755636,0.09993768378848687,0.7986897608487535,0.11392105681726952,0.10546112936603776,0.7807034889952021
13.125,,,,,,,,,,0.11049657188689646,0.09620347948730963,0.7933856918585793
13.75,,,,,,,0.09576648767086686,0.08166663490078159,0.8226512008088481,0.10748812494930388,0.08767897669063257,0.8049187017169106
14.375,,,,,,,,,,0.10484102226181197,0.07984934234063225,0.8153954920458725
15.0,0.012900005895140515,0.006236925861929185,0.9809385416954041,0.06738660375444872,0.05190952815691755,0.8807853947316644,0.09146072616048206,0.06653766601229433,0.8420861982243433,0.1025085358788917,0.07267341952660192,0.824903948612706
15.625,,,,,,,,,,0.1004506409745272,0.06610875173272843,0.8335265535211486
16.25,,,,,,,0.08818363066477333,0.05411307802372063,0.8577881034867301,0.09863296145341655,0.060112760557290104,0.8413402619099132
16.875,,,,,,,,,,0.09702589074374088,0.05464360555032635,0.8484165213447077
17.5,,,,0.06401303124349508,0.031233302699791084,0.9048360829092408,0.08567929311462491,0.04396901630432006,0.8704366890938231,0.09560385885641338,0.0496607945510013,0.8548213944392677
18.125,,,,,,,,,,0.0943447209948293,0.04512560009597995,0.8606157538512127
18.75,,,,,,,0.08376107293297047,0.03572118069420163,0.880602902989236,0.09322924689135206,0.04100132660300836,0.865855525773158
19.375,,,,,,,,,,0.09224069349692522,0.03725346399078942,0.8705919636322297
20.0,0.01454811121640544,0.002353999209218658,0.983176330330023,0.062339045064463666,0.018936603947243016,0.9188074322105528,0.0822910763431504,0.029034487713395743,0.8887597278427317,0.09136444662377607,0.03384975597551894,0.8748719381581289
20.625,,,,,,,,,,0.09058771965687891,0.030760205258699796,0.8787382334898236
21.25,,,,,,,0.08116620917735673,0.023624007769933987,0.8952951915548484,0.08989929955157251,0.027957032967641536,0.8822298417423343
21.875,,,,,,,,,,0.08928933207558097,0.025414605826838146,0.8853822505973941
22.5,,,,0.061561216075551636,0.011659652964960387,0.9268627240656039,0.08030857797166813,0.01925152524333134,0.9005254064284703,0.08874913968725849,0.02310934144841628,0.8882277201381266
23.125,,,,,,,,,,0.08827106661790675,0.02101959968292254,0.8907955464187618
23.75,,,,,,,0.07965878857729629,0.015720215380654358,0.904706593902507,0.08784834668849448,0.01912556604271167,0.8931123102268969
24.375,,,,,,,,,,0.08747499017784513,0.01740913169613591,0.8952021102231182
25.0,0.015786518641896053,0.0013636601214158106,0.9829301038707938,0.06126594089372025,0.007343828204677267,0.9314742283763988,0.07917119750557286,0.012868812340312985,0.9080456653326233,0.08714568670218527,0.01585377334770631,0.8970867801829856
25.625,,,,,,,,,,0.08685572159133459,0.014444435399506263,0.8987860904608724
26.25,,,,,,,0.07881049720947424,0.010565982569743794,0.9107092634535674,0.0866009036765592,0.013167416077744468,0.9003179340767925
26.875,,,,,,,,,,0.08637750275704731,0.01201025866165012,0.9016984980220848
27.5,,,,0.06123162340018733,0.004766294414526175,0.9340864055657825,0.07854922603218181,0.008705237589967281,0.912831339734698,0.08618219530063087,0.010961648534960882,0.902942420508118
28.125,,,,,,,,,,0.08601201717157976,0.010011316465170448,0.9040629349600322
28.75,,,,,,,0.0783659288015451,0.0072005078172370195,0.9145194200295346,0.08586432237360957,0.009149948280344898,0.9050720015975994
29.375,,,,,,,,,,0.08573674695743448,0.008369100940125088,0.9059804274572597
