t,alpha=0.99,alpha=0.95,alpha=0.9,alpha=0.85,alpha=0.75,alpha=0.5,alpha=0.25,alpha=0.05,alpha=0.01
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.005,1.0000570652850038,1.0013608432635839,1.0051137006111777,1.010764651366319,1.0258156628302093,1.0641895835477562,1.0660489390982628,1.019505825802587,1.0041622992160641
0.01,1.0000700034851624,1.0016288408452563,1.0059313679820825,1.0120897283332202,1.0271127214560953,1.0560370721753107,1.0464748623338918,1.0112061895371312,1.002286741590063
0.015,1.0000754734524735,1.001729236113008,1.0061749600982428,1.0123384356636338,1.0265652015544386,1.0492772419664047,1.0363114087889183,1.0078976098075336,1.0015770568796643
0.02,1.000078440755647,1.0017772247429095,1.0062572354526242,1.0123252335113426,1.0257748621539946,1.0443123957507292,1.0301158167644378,1.0061157258886615,1.0012040461603384
0.025,1.0000802826341055,1.0018030813844865,1.0062785088982258,1.012229958159049,1.0250034694918126,1.0405450779414722,1.0259162429526067,1.0049998011323575,1.0009740565635166
0.03,1.0000815266430307,1.0018178843947951,1.0062729425110626,1.0121080181161726,1.0243009090527888,1.03757904360035,1.0228638578074367,1.0042341527435494,1.0008180429573508
0.035,1.000082416852527,1.0018265451334345,1.006254610944575,1.0119796710435727,1.0236708407194741,1.0351716875506596,1.0205342314767105,1.003675611869351,1.0007052424683514
0.04,1.0000830812222596,1.001831533774997,1.0062300565999127,1.0118529692338816,1.0231061290317836,1.0331696966893342,1.018691096976501,1.0032497920181676,1.0006198741654555
0.045,1.0000835931061163,1.0018342089283565,1.00620257544712,1.0117311464629288,1.0225979002252017,1.031471954356885,1.017192108129227,1.0029141841086455,1.0005530086096313
0.05,1.0000839974747968,1.0018353693148987,1.0061739196349302,1.0116153749444436,1.0221379520313703,1.0300090837757616,1.0159461644508483,1.002642718230903,1.0004992134638708
0.055,1.0000843233804966,1.0018355092692772,1.0061450521330535,1.0115059053319182,1.021719280386309,1.0287318320488994,1.0148921219406333,1.0024185093545666,1.0004549940305347
0.06,1.0000845903971194,1.0018349474452055,1.006116510011237,1.0114025733517225,1.0213360571617782,1.0276041992690772,1.0139873355989664,1.0022301351089118,1.0004179999645335
0.065,1.000084812175224,1.0018338961042186,1.0060885909163308,1.0113050362774103,1.020983465528951,1.0265992089627094,1.0132011059426458,1.0020695891846587,1.000386592240887
0.07,1.0000849985127682,1.0018325004830693,1.0060614537931936,1.0112128865277807,1.0206575198126107,1.0256962087050392,1.0125107384949974,1.001931091392705,1.0003595929364608
0.075,1.0000851566164084,1.0018308621812744,1.0060351755536596,1.0111257066273192,1.0203549065928699,1.0248790912972103,1.0118990734915778,1.0018103631294584,1.0003361337005359
0.08,1.000085291899278,1.001829053586559,1.006009784025206,1.0110430952054852,1.0200728541868755,1.0241350890338163,1.0113528815264012,1.0017041687697323,1.0003155603020937
0.085,1.0000854085021391,1.0018271270616697,1.0059852776176106,1.01096467838146,1.0198090283608743,1.0234539358239467,1.0108617894792256,1.0016100156168326,1.0002973704479305
0.09,1.00008550964347,1.0018251209585043,1.005961637305003,1.0108901137192636,1.0195614498150536,1.0228272719529703,1.0104175422572326,1.0015259519008057,1.0002811720839024
0.095,1.0000855978604577,1.0018230636508216,1.0059388340379836,1.0108190904472452,1.0193284289919584,1.0222482128339725,1.0100134835076995,1.0014504273525517,1.000266654716538
0.1,1.0000856751785092,1.0018209762957893,1.0059168333747988,1.0107513278743965,1.0191085144317333,1.0217110310323194,1.0096441828283134,1.0013821948337092,1.00025356924605
0.105,1.0000857432327857,1.0018188747604837,1.0058955983875841,1.0106865730221144,1.018900451659696,1.0212109180783202,1.0093051632446532,1.0013202395681098,1.0002417135022725
0.11,1.0000858033568478,1.0018167709881762,1.0058750914818992,1.0106245980058037,1.0187031502632193,1.0207438034833203,1.0089926987210713,1.0012637273365381,1.0002309216865237
0.115,1.0000858566483173,1.0018146739816485,1.0058552755232282,1.0105651974403056,1.018515657356585,1.020306215429294,1.0087036614875473,1.0012119659555103,1.0002210565416947
0.12,1.0000859040182002,1.0018125905202584,1.0058361145175727,1.0105081860020255,1.0183371360531817,1.01989517226379,1.0084354053895128,1.0011643762259015,1.0002120034619486
0.125,1.0000859462284053,1.0018105256890586,1.0058175740036102,1.0104533962042537,1.0181668478856087,1.0195080970715318,1.0081856756785705,1.001120469740191,1.0002036660036377
