t,S_h=5,I_h=5,R_h=5,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
0.625,,,,,,,,,,0.46672721346017226,0.3032115140735603,0.264334025030458
1.25,,,,,,,0.45132997040198103,0.29945371218130246,0.2834890699809071,0.4346467266571441,0.2966836087080097,0.30342960735619506
1.875,,,,,,,,,,0.40970891333746695,0.2886796585759949,0.3349650987097024
2.5,,,,0.440519097084567,0.2964133069545951,0.29734034852502844,0.4114351982815187,0.28881633172236987,0.33450841271746024,0.38959380912954017,0.2802381913801993,0.3620529603525315
3.125,,,,,,,,,,0.3729070708629645,0.27170985658718405,0.38596093715921603
3.75,,,,,,,0.3819863710332474,0.2765797110016813,0.3747875885882356,0.35878829480786856,0.2632665559855313,0.40738732013542567
4.375,,,,,,,,,,0.3466665896010152,0.2550052781505562,0.4267817372154132
5.0,0.43684446659857756,0.2953073074952601,0.3021209784703529,0.3957414477896036,0.2824907691558498,0.3565277257758954,0.3592494341209948,0.2641075213125193,0.4085280054287568,0.33614087843073576,0.2469830717568932,0.4444622195232214
5.625,,,,,,,,,,0.3269171179751702,0.23923293382571645,0.4606679631612375
6.25,,,,,,,0.3411311729412351,0.2518996277329198,0.43754706393520965,0.3187726679778155,0.23177243725982083,0.4755866575896433
6.875,,,,,,,,,,0.31153467502076876,0.2246089394990323,0.4893701287546456
7.5,,,,0.3638894232722572,0.267063329151612,0.40240091819929497,0.3263651983262697,0.2401842491565072,0.46289272344604854,0.30506623022321505,0.2177429354423023,0.502143999451085
8.125,,,,,,,,,,0.29925710942951306,0.21117030381860974,0.5140140219595182
8.75,,,,,,,0.31412496818430086,0.22906615794030136,0.4852624788423824,0.29401735457182054,0.20488385104409562,0.5250704335003472
9.375,,,,,,,,,,0.2892726921856729,0.19887438962085963,0.5353910716843806
10.0,0.3905207760357558,0.28020596013161686,0.3640332065539762,0.3400787786734354,0.25174542670393596,0.4400607554848994,0.303840710727609,0.2185851158655594,0.5051603431176819,0.28496118238801427,0.19313149880058605,0.5450436763431168
10.625,,,,,,,,,,0.2810307167937319,0.1876440636706667,0.5540876366704229
11.25,,,,,,,0.29510366673607447,0.20874464248772925,0.5229697057383205,0.27743711711428554,0.18240065729887786,0.5625753476127937
11.875,,,,,,,,,,0.2741426680848861,0.17738981044772592,0.5705532831225875
12.5,,,,0.3216569682382887,0.23711739549405722,0.4718035008770185,0.2876115591171257,0.1995278415287128,0.5389923621814412,0.27111497037913734,0.17260020008533172,0.5780628591875238
13.125,,,,,,,,,,0.26832603316076875,0.16802077892042405,0.5851411374352878
13.75,,,,,,,0.28113543531690843,0.1909066232009916,0.5534716847565466,0.265751548701587,0.1636408619659731,0.5918214055894971
14.375,,,,,,,,,,0.2633703071038158,0.15945018176099865,0.5981336612567095
15.0,0.3579880054010338,0.2636737064272163,0.41169195879491416,0.30704653757566,0.22340790425601598,0.4989877290971494,0.2754984592298904,0.18284723825841742,0.5666074676282951,0.2611637200734813,0.15543892076248947,0.6041050187540966
15.625,,,,,,,,,,0.2591154304500034,0.15159772717281908,0.6097600539057386
16.25,,,,,,,0.2705617956527026,0.17531363798426017,0.5785660015706787,0.25721098980271756,0.14791771883397717,0.6151210982909504
16.875,,,,,,,,,,0.25543759051281895,0.14439047862202975,0.6202084919019286
