t,S_h=5,I_h=5,R_h=5,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
0.625,,,,,,,,,,0.4564724098223213,0.3007851703934937,0.2770151723483756
1.25,,,,,,,0.42531427514466025,0.2916059388171858,0.31735253860234464,0.4190754238436518,0.29160161358379005,0.32408290529390693
1.875,,,,,,,,,,0.39098738760728363,0.28083091474794664,0.361535368267934
2.5,,,,0.3828603098404182,0.27517054971289445,0.37624189301087796,0.3745124475929865,0.27263686260027425,0.38761063252808803,0.36897510926266475,0.2697217403940246,0.39318811120558156
3.125,,,,,,,,,,0.35119241107305965,0.25872624592029114,0.4206592076160137
3.75,,,,,,,0.3402675175383311,0.2526250761594297,0.4404610769254035,0.3365145930717989,0.24805929573254876,0.44486828212447777
4.375,,,,,,,,,,0.32420260365916675,0.23782934096770092,0.4664216603401168
5.0,0.3294400820544102,0.2489890599984711,0.45584361051130917,0.32033713858751656,0.24071946412221254,0.4737033400116197,0.31585475438228144,0.23351682733352822,0.4825133791464613,0.3137430287620437,0.22808786936918457,0.4857552715796219
5.625,,,,,,,,,,0.30476439779763753,0.21885340904699066,0.5032002081174959
6.25,,,,,,,0.2977631743176561,0.21592464731571004,0.5168900429759984,0.29698954798912286,0.21012482815371974,0.519017386684437
6.875,,,,,,,,,,0.2902066398948744,0.2018892538548415,0.5334178495247306
7.5,,,,0.2845664251605133,0.2089692388580593,0.5398180066045916,0.2839685510768991,0.19999345065330423,0.5454801691986222,0.2842505776648314,0.19412698119619373,0.5465756062555772
8.125,,,,,,,,,,0.2789905982176729,0.18681458357787767,0.5586362534120907
8.75,,,,,,,0.2732152121064745,0.18567634075085032,0.5695620521096598,0.27432170195160877,0.1799269028691598,0.5697230342954953
9.375,,,,,,,,,,0.2701585731246896,0.17343832219873667,0.5799412581674872
10.0,0.26206899550253404,0.1957233083378076,0.5769676388810071,0.26253053114246083,0.18201497253367252,0.5873394571861376,0.26468238669632593,0.17284932484997462,0.5900544581645497,0.26643116775040676,0.16732357112751609,0.5893816186537946
10.625,,,,,,,,,,0.2630814494892058,0.16155822251429927,0.5981227451313165
11.25,,,,,,,0.25781184045886557,0.16136342239091406,0.6076427521123446,0.26006093450515877,0.1561189848940775,0.6062332026267211
11.875,,,,,,,,,,0.25732881789940476,0.1509838590900693,0.613773084665726
12.5,,,,0.24823043617583745,0.15970123927993488,0.622646189153592,0.2522116899706672,0.15106868748773478,0.6228513853688777,0.2548505255803018,0.1461322050691342,0.6207952990025571
13.125,,,,,,,,,,0.25259658214194053,0.14154475009203565,0.6273466172825046
13.75,,,,,,,0.24759955636157027,0.14182482579159006,0.6360893611212862,0.25054171667429537,0.1372035592202418,0.6334685403625202
14.375,,,,,,,,,,0.24866414990790203,0.1330919824954013,0.6391980177182207
15.0,0.2320109747818408,0.1547585775905675,0.6465841182507559,0.2385919339870454,0.14132910612352095,0.6495211308182589,0.2437674313058636,0.13350526160467224,0.6476804722060667,0.2469450210820897,0.1291945885132114,0.6445680499947666
15.625,,,,,,,,,,0.24536792355228643,0.1254970909634541,0.6496081970128207
16.25,,,,,,,0.24055916016031875,0.12599801817441647,0.6578842568729061,0.2439185257973762,0.12198627253824994,0.6543450085920192
16.875,,,,,,,,,,0.24258426006150866,0.11864990911184828,0.6588023918634207
17.5,,,,0.231911447346827,0.12616017310599179,0.6703819845141655,0.23785556689853296,0.11920510350757042,0.6669109687101603,0.24135406497650305,0.11547669605919376,0.6630019259487724
18.125,,,,,,,,,,0.240218171577675,0.1124561778652783,0.6669631327421854
18.75,,,,,,,0.2355643692000005,0.11304126115885614,0.6749325231320569,0.23916792443621146,0.10957868168557382,0.670703710867806
19.375,,,,,,,,,,0.238195631387885,0.10683525518233174,0.6742397385841182
20.0,0.2174253106112617,0.12498132183749051,0.6894783284135187,0.22718593300776016,0.11355603980848783,0.6868441968946022,0.2336131852048855,0.10743251934830977,0.6820906529785222,0.2372944366851055,0.10421760873538742,0.6775858503744463
20.625,,,,,,,,,,0.23645821344078713,0.10171806197654648,0.6807553911403437
21.25,,,,,,,0.23194458686449768,0.10231475053830882,0.6885030797320154,0.23568147204366952,0.09932949450062974,0.6837605512527883
21.875,,,,,,,,,,0.23495928186092782,0.09704530054757561,0.6866124851801527
22.5,,,,0.22379536942803,0.10300055035430994,0.7000220951797841,0.23051253857794377,0.09763233820912141,0.6942682452388924,0.23428720404617767,0.09485934741716864,0.689321415975081
23.125,,,,,,,,,,0.2336612336699617,0.09276593736286168,0.6918967275442578
23.75,,,,,,,0.22927979223405828,0.09333698779718948,0.6994689816239521,0.23307774970860295,0.09075977270803824,0.6943470463298163
24.375,,,,,,,,,,0.23253347168344843,0.08883592393286062,0.6966803137865264
25.0,0.21005224920141893,0.10334915670577649,0.7171764587021691,0.2213409185730259,0.09408685893063581,0.7107039853236177,0.22821595438317854,0.0893866885153476,0.704175386753467,0.23202542194939157,0.08698980048970625,0.6989038508353078
25.625,,,,,,,,,,0.23155089279947902,0.0852171241181006,0.7010244153033891
26.25,,,,,,,0.2272960333938394,0.08574481825443088,0.7084470978682108,0.23110741768934331,0.08351390444461695,0.7030482532185566
26.875,,,,,,,,,,0.23069274599738557,0.08187641666846823,0.704981144704519
27.5,,,,0.21955739062663152,0.08649690482166711,0.7194594478261477,0.22649933440885311,0.08237937757059127,0.7123351042776132,0.23030482082892376,0.08030118114881693,0.7068284451225967
28.125,,,,,,,,,,0.22994175944877274,0.07878494472474816,0.7085951220185068
28.75,,,,,,,0.22580860969331246,0.07926233689282608,0.7158832035353855,0.2296018359899586,0.07732466361311471,0.7102857883594635
29.375,,,,,,,,,,0.22928346613891168,0.07591748774291497,0.7119047324839656
30.0,0.206339043735389,0.08737524144011011,0.7357278857533261,0.21826348917308935,0.07998206881117373,0.7267076071323393,0.22520939882064211,0.0763690813745807,0.7191291793948447,0.22898519354146957,0.07456074639741601,0.7134559451328379
30.625,,,,,,,,,,0.228705677710897,0.07325193504685859,0.7149431438838703
31.25,,,,,,,0.22468951156249453,0.07367793909423456,0.7221057608718319,0.2284436832501459,0.07198870326527967,0.7163697952725927
31.875,,,,,,,,,,0.22819807022675873,0.07076884363479329,0.7177391348473603
32.5,,,,0.21733231373665565,0.07434724990509571,0.7327618715658895,0.22423861916919113,0.0711697799617835,0.7248414077966703,0.22796778556097505,0.06959028154962033,0.7190541853771819
33.125,,,,,,,,,,0.22775185530640826,0.06845106584030998,0.7203177734049262
33.75,,,,,,,0.2238479287726215,0.0688276743939303,0.7273609578702254,0.22754937771868025,0.06734936014599915,0.7215325443161011
34.375,,,,,,,,,,0.2273595170210695,0.06628343496927427,0.7227009760738625
35.0,0.20459762266453152,0.0753277746869508,0.7485282076155021,0.21667322814573292,0.06943842958008643,0.7378599813904442,0.22350992210522025,0.0666366024225784,0.7296861624566702,0.2271814977879379,0.0652516603542857,0.723825391753831
35.625,,,,,,,,,,0.2270145998767392,0.06425249913427268,0.7249079709973871
36.25,,,,,,,0.22321814439863563,0.06458320533695332,0.7318361324495497,0.2268581538480591,0.06328450069963848,0.7259507604889902
36.875,,,,,,,,,,0.22671153682058628,0.062346295242223605,0.7269556835516101
37.5,,,,0.21622036101722533,0.06513317266549233,0.7421846198081956,0.22296703273747398,0.06265557320879692,0.7338277110433203,0.2265741687143553,0.06143658843549258,0.7279245489442098
38.125,,,,,,,,,,0.22644550884118328,0.06055415651403584,0.7288590589363407
38.75,,,,,,,0.22275177566133775,0.060843062718512836,0.7356757867744843,0.22632505280606718,0.05969784171911108,0.7297608167270061
39.375,,,,,,,,,,0.22621232968752228,0.058866548079959176,0.730631333268013
40.0,0.2039623455064108,0.06604344918799633,0.7575803750164428,0.21592511078776572,0.06133343125890605,0.7458778154850457,0.22256819768412262,0.05913614060385584,0.7373935575069607,0.2261068994685189,0.058059237503348314,0.7314720335458589
40.625,,,,,,,,,,0.22600835069288266,0.05727492614626043,0.7322842623707371
41.25,,,,,,,0.22241266380938146,0.05752624881177663,0.7389927539365193,0.22591629832483406,0.056512681048859786,0.733069289716374
41.875,,,,,,,,,,0.2258303817918052,0.05577161700689934,0.7338283156500996
42.5,,,,0.21575114240731935,0.05796009994879517,0.7490511747787074,0.22228200018907068,0.05600568806875104,0.7404838295392661,0.2257502631928359,0.05505089366454469,0.7345624748887073
43.125,,,,,,,,,,0.2256756256567561,0.054349712810249105,0.735272841012191
43.75,,,,,,,0.22217342788918493,0.054567517114355375,0.7418761225851163,0.22560617183603648,0.0536673158598134,0.7359604303644283
44.375,,,,,,,,,,0.22554162252367635,0.05300298151212256,0.736626205667077
45.0,0.2039627136079771,0.05874074708626642,0.7641145542678803,0.21567097600659557,0.05494888541628565,0.7517932606030766,0.22208450735385216,0.053205465283923704,0.7431779948006518,0.22548171538180148,0.052356023564286744,0.7372710793705312
45.625,,,,,,,,,,0.22542620377181039,0.051725788874034874,0.7378959167635566
46.25,,,,,,,0.2220130916461567,0.051913856493477746,0.744396950437447,0.2253748556769366,0.051111655458227656,0.7385015388612542
46.875,,,,,,,,,,0.2253274527090034,0.050513030717282775,0.739088725089209
47.5,,,,0.21566361693122163,0.052247158336265004,0.7541749863877133,0.22195728692359348,0.050687542986194725,0.7455397388366694,0.22528378919197045,0.04992934977614918,0.739658215780084
48.125,,,,,,,,,,0.22524367131558812,0.04936007393323329,0.7402107144974738
48.75,,,,,,,0.2219154189040416,0.049521847454919346,0.746612443043875,0.22520691635312734,0.04880468920938038,0.7407468902005313
49.375,,,,,,,,,,0.2251733519377278,0.048262704989651066,0.7412673792616884
50.0,0.20433140902310734,0.05288782413465407,0.7689125296695181,0.2157128814304988,0.04981153984837521,0.7562536083731192,0.22188600431342512,0.04841251236834485,0.747620556592636,0.22514281539242645,0.047733652751214835,0.7417727873487595
