t,S_h=5,I_h=5,R_h=5,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
0.625,,,,,,,,,,0.4506877091179758,0.3067530185681161,0.27683202487809866
1.25,,,,,,,0.40919019800462736,0.30454926155844525,0.320533293001118,0.4096224646394067,0.2976485858376012,0.32748889224434097
1.875,,,,,,,,,,0.380258422449022,0.28527205903341785,0.3678231891407244
2.5,,,,0.3417772923153538,0.3009692477342612,0.3915262125145756,0.3521369888411035,0.28069325532851863,0.4019296985517266,0.35805724605719486,0.2722615934887774,0.40156612131629876
3.125,,,,,,,,,,0.3406188115813164,0.259467604874007,0.43049144815404117
3.75,,,,,,,0.3185412806868544,0.2533581365428956,0.4614542533934143,0.3265490679320356,0.24722943670226316,0.4556636662945267
4.375,,,,,,,,,,0.31496643491243037,0.23568145550089242,0.4778057145536616
5.0,0.23226470393245513,0.2951534981188973,0.5068545505128381,0.2743738357538139,0.23889565105372002,0.5214904559138149,0.2969068676009967,0.22860281406210564,0.5063752791991685,0.30527894955709955,0.22486276606871586,0.4974444540850346
5.625,,,,,,,,,,0.2970712970059353,0.21476556104511046,0.5149811569110782
6.25,,,,,,,0.28197232965093594,0.20726901758273714,0.5413365173756913,0.2900421368813884,0.20535891153966201,0.5307307144062291
6.875,,,,,,,,,,0.2839668941708174,0.19660120471922699,0.5449456443844021
7.5,,,,0.2515317559261201,0.18852620581995533,0.5932957088770889,0.2711396517897232,0.1890626590482064,0.5692398600908959,0.27867448675855877,0.18844684736141623,0.5578318309966274
8.125,,,,,,,,,,0.2740321568551149,0.1808499049340193,0.5695593734185069
8.75,,,,,,,0.26299208017996445,0.17349607183223573,0.5919654529547844,0.2699352472839764,0.17376604226752018,0.5802703495647672
9.375,,,,,,,,,,0.26630011567470396,0.16715350203277823,0.5900845357834312
10.0,0.18777634392674608,0.1348781121314356,0.7121054866631671,0.2414092075872289,0.15598068654881142,0.6344950667262307,0.25669292786509923,0.1601104696206402,0.6107827722251109,0.26305910584933895,0.16097353272477113,0.5991037189576074
10.625,,,,,,,,,,0.26015690560064125,0.15519050253129327,0.6074150090028873
11.25,,,,,,,0.2517166800012525,0.14852109006941344,0.6265802448914585,0.2575478612096818,0.14977183727743176,0.6150934235388439
11.875,,,,,,,,,,0.25519396598427335,0.14468786410900017,0.6222039315619263
12.5,,,,0.23560961805080327,0.13341405106046528,0.6615541954980959,0.24771690785171985,0.13841634588544077,0.6399985090901192,0.25306333236776757,0.1399116093400878,0.6288030879441373
13.125,,,,,,,,,,0.251129016646995,0.1354185790356042,0.6349403538338816
13.75,,,,,,,0.24445619824720957,0.12954630932733613,0.6515112356999009,0.2493681045243284,0.13118653890957893,0.64065917282315
14.375,,,,,,,,,,0.2477609922362386,0.1271953028342299,0.6459978550510557
15.0,0.20794329247124524,0.09875408321262241,0.7266562949392966,0.23192203225316954,0.11673696828649358,0.6807831703891623,0.24176659075756995,0.12171043215898333,0.6614761422000491,0.24629081601578967,0.12342653482337979,0.6509903087508981
15.625,,,,,,,,,,0.24494299532512503,0.11986356667291094,0.655666649530525
16.25,,,,,,,0.23952606837842094,0.11474704217814946,0.6701683246510708,0.24370486422056786,0.11649123184166299,0.6600537108654142
16.875,,,,,,,,,,0.24256537162385286,0.11329571522779734,0.6641754741851272
17.5,,,,0.22945592356376393,0.10388860745880985,0.6951090739444107,0.23764398033653758,0.10852496465157502,0.677802694128151,0.2415148359300018,0.11026441798338872,0.6680534330710785
18.125,,,,,,,,,,0.24054474280455707,0.10738583625453671,0.6717069031260449
18.75,,,,,,,0.2360516726480718,0.10293700832366126,0.6845494725191805,0.23964757756466754,0.10464945263543785,0.6751532867894859
19.375,,,,,,,,,,0.2388166854452014,0.10204563911947998,0.6784083005896535
20.0,0.213259553243362,0.0828133223610835,0.7358120852578254,0.22775525814148848,0.09368423879274021,0.7061466727766215,0.23469627801677248,0.09789494241539447,0.6905451370995506,0.2380461544945618,0.09956557037871443,0.6814861709216632
20.625,,,,,,,,,,0.23733071694719807,0.09720114628007592,0.6843998033304035
21.25,,,,,,,0.23353648892554327,0.0933256241433075,0.695900304065971,0.2366656657683892,0.09494492263694901,0.6871609293917497
21.875,,,,,,,,,,0.23604678372510002,0.09279004928866122,0.6897802345748953
22.5,,,,0.22656047015162506,0.08538533539591187,0.7148722094145872,0.23253961306956072,0.08916800217170029,0.7007055067846967,0.23547028285093483,0.0907302146926133,0.69226746989488
23.125,,,,,,,,,,0.23493275257764049,0.08875959630088201,0.6946315496985589
23.75,,,,,,,0.23167947977027548,0.08537078476159178,0.7050354971233328,0.23443111512571896,0.08687281607364626,0.6968806375470924
24.375,,,,,,,,,,0.23396258700159717,0.08506490055504623,0.6990222218461922
25.0,0.21500365912158545,0.07060902699511323,0.7449651784926657,0.22571331718314977,0.07850554960903419,0.7219128960350955,0.23093492421677922,0.08189061323412794,0.7089524922010859,0.23352464565292133,0.08333124500303157,0.7010631826184529
25.625,,,,,,,,,,0.23311500049788944,0.08166758112366435,0.703009850599415
26.25,,,,,,,0.23028867214964804,0.07869062129832763,0.7125086560685051,0.23273156767754014,0.08006994801268562,0.7048680596622905
26.875,,,,,,,,,,0.2323724479880857,0.07853466595348445,0.7066431934288026
