t,S_h=5.0,I_h=5.0,R_h=5.0,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625,S_h=0.3125,I_h=0.3125,R_h=0.3125,S_h=0.15625,I_h=0.15625,R_h=0.15625,S_h=0.078125,I_h=0.078125,R_h=0.078125,S_h=0.0390625,I_h=0.0390625,R_h=0.0390625
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
0.0390625,,,,,,,,,,,,,,,,,,,,,,0.5074529715975196,0.3095959575957203,0.21722382337095075
0.078125,,,,,,,,,,,,,,,,,,,0.5015874661092703,0.3090172875813222,0.22366799887359815,0.5007406293869515,0.3094446293560671,0.22457468397833025
0.1171875,,,,,,,,,,,,,,,,,,,,,,0.4942834962452858,0.30863760496969894,0.2304325694081796
0.15625,,,,,,,,,,,,,,,,0.4923426536698206,0.3078639615221257,0.2340661373722443,0.4908231770698332,0.30843366922453214,0.23550309642698347,0.48848949479819054,0.3077553777927995,0.2356400882712809
0.1953125,,,,,,,,,,,,,,,,,,,,,,0.48325016297599377,0.30688149250023167,0.24044620913313908
0.234375,,,,,,,,,,,,,,,,,,,0.48112071210119095,0.3071018085264392,0.24513114999553415,0.4784505579606109,0.3060280684140622,0.24496354455415223
0.2734375,,,,,,,,,,,,,,,,,,,,,,0.4740043645635504,0.30519364509373464,0.2492555953096994
0.3125,,,,,,,,,,,,,0.4780297626991338,0.30551969322401545,0.25072329664104126,0.47545352860376777,0.3062384079101013,0.2530680062074797,0.47256135315845993,0.3056321795635946,0.25369142814021645,0.46984861794708394,0.30437445474790287,0.25336309701586335
0.3515625,,,,,,,,,,,,,,,,,,,,,,0.4659366750045516,0.303566916583129,0.25731442337444344
0.390625,,,,,,,,,,,,,,,,,,,0.46489169646515394,0.3041258794004934,0.2615602887437173,0.4622331637063162,0.3027681166646594,0.2611304824563039
0.4296875,,,,,,,,,,,,,,,,,,,,,,0.4587106261204332,0.3019757956846973,0.264827321469316
0.46875,,,,,,,,,,,,,,,,0.46102556605274186,0.30367739803118754,0.26865070653923484,0.45791655639382656,0.3026060096871421,0.26891960484785693,0.45534729083001235,0.30118823232322767,0.2684176419633624
0.5078125,,,,,,,,,,,,,,,,,,,,,,0.452125568560992,0.30040412390011956,0.2719117427465294
0.546875,,,,,,,,,,,,,,,,,,,0.45149908437094205,0.30107868083224365,0.27587583976379876,0.4490310131871515,0.29962248766581234,0.2753181382632996
0.5859375,,,,,,,,,,,,,,,,,,,,,,0.4460515876742636,0.29884258436699146,0.278643981449658
0.625,,,,,,,,,,0.4564724098223213,0.3007851703934937,0.2770151723483756,0.452321076577163,0.3014887949579013,0.28095007118628446,0.4485889448872919,0.30086019825836147,0.28243581771661763,0.445541708285774,0.29954571152332615,0.28249874990174995,0.44317713422666183,0.29806386040525035,0.281895362899805
0.6640625,,,,,,,,,,,,,,,,,,,,,,0.44039898421422546,0.29728590433497937,0.28507752858561664
0.703125,,,,,,,,,,,,,,,,,,,0.43997264758102833,0.29800784265676644,0.2888375247243292,0.4377096658052938,0.29650841410278445,0.28819504211787894
0.7421875,,,,,,,,,,,,,,,,,,,,,,0.4351026812379889,0.29573117225786844,0.2912519081593422
0.78125,,,,,,,,,,,,,,,,0.4376396123007448,0.2979298732461168,0.295008379062503,0.4347374586209476,0.2964656184435171,0.2949286857628149,0.4325723346223076,0.29495402707464335,0.2942516679550419
0.8203125,,,,,,,,,,,,,,,,,,,,,,0.4301135970149296,0.2941768780777067,0.29719747442384403
0.859375,,,,,,,,,,,,,,,,,,,0.4297937215706788,0.2949196164814021,0.30080040522236534,0.4277219994034565,0.2933996648648104,0.3000921519887899
0.8984375,,,,,,,,,,,,,,,,,,,,,,0.4253935468785115,0.29262235841797996,0.3029382448250321
0.9375,,,,,,,,,,,,,0.43155000978622937,0.29619780858501377,0.305605852251921,0.42784048158793586,0.29493668003517987,0.3066650093057099,0.42510761238794453,0.29337048692702516,0.3064750658016326,0.4231246490952631,0.291844954305807,0.3057380561889969
0.9765625,,,,,,,,,,,,,,,,,,,,,,0.4209120634045767,0.2910674673339145,0.3084936807900692
1.015625,,,,,,,,,,,,,,,,,,,0.42065162261054007,0.29181893850400764,0.3119708740930931,0.41875284794429546,0.29028992731246284,0.31120703167088626
1.0546875,,,,,,,,,,,,,,,,,,,,,,0.4166443226382959,0.2895123756913167,0.3138798627071642
1.09375,,,,,,,,,,,,,,,,0.41896351316099206,0.29190569728901805,0.31758439451697446,0.4164029974379134,0.2902657140060926,0.3173029276722574,0.41458403653150716,0.2887348628736517,0.3165137875793098
1.1328125,,,,,,,,,,,,,,,,,,,,,,0.41256974024474496,0.2879574460633689,0.31911029587702455
1.171875,,,,,,,,,,,,,,,,,,,0.4123426367655531,0.28871156793441943,0.32248394879094044,0.4105993625994074,0.2871801875349881,0.32167076685519597
1.2109375,,,,,,,,,,,,,,,,,,,,,,0.40867099066338897,0.28640315323973686,0.32419648125120903
1.25,,,,,,,0.42531427514466025,0.2916059388171858,0.31735253860234464,0.4190754238436518,0.29160161358379005,0.32408290529390693,0.41428122785603366,0.2904949479174684,0.32710878508876884,0.41084754670265783,0.2888526904157708,0.32788593259242166,0.4084543031348876,0.2871572491848121,0.3275248052120173,0.40678285262332836,0.28562641168053476,0.32668863149107585
1.2890625,,,,,,,,,,,,,,,,,,,,,,0.404933303006786,0.2848500330030502,0.329148330547841
1.328125,,,,,,,,,,,,,,,,,,,0.4047240385044778,0.28560348866191104,0.33243488996843257,0.40312080987007193,0.2840740882611366,0.33157661966587904
1.3671875,,,,,,,,,,,,,,,,,,,,,,0.4013439436396108,0.28329864882355166,0.33397447512549383
1.40625,,,,,,,,,,,,,,,,0.40337388304423183,0.2857890066479784,0.3376551252699139,0.4011397264859346,0.28405099090523533,0.33722240463478725,0.39960136735172447,0.28252378589555227,0.33634281419115086
1.4453125,,,,,,,,,,,,,,,,,,,,,,0.3978918280810278,0.28174957013419566,0.3386825003618578
