t,S_pert=0,I_pert=0,R_pert=0,S_pert=0.01,I_pert=0.01,R_pert=0.01,S_pert=-0.1,I_pert=-0.1,R_pert=-0.1,S_pert=-0.01,I_pert=-0.01,R_pert=-0.01
0.0,0.9,0.1,0.0,0.89,0.1,0.0,1.0,0.1,0.0,0.91,0.1,0.0
0.5,0.8651277098129456,0.1283183275005539,0.006611027971504229,0.855515179703913,0.12794929947540076,0.006592015452840082,0.961253010903273,0.13200860775208553,0.006801153158145707,0.8747402399219785,0.12868735552570706,0.006630040490168377
1.0,0.8228643804582167,0.16229897639440713,0.0149066466325385,0.8138367093513605,0.16139152237025461,0.014841071728695705,0.9130006422847905,0.17150708439639298,0.015569277152495228,0.8318894946878486,0.16320886201847315,0.01497234681369247
1.5,0.7728344843684581,0.20204140451211805,0.02519958457189729,0.7646174057012719,0.20040694968696496,0.0250503633297122,0.8545224422559742,0.21883864589232124,0.026721932649425587,0.7810428208210797,0.20368405526859018,0.025349352097328602
2.0,0.715326762198525,0.24699402223918676,0.03775765631793514,0.7081498684415748,0.24444932123742735,0.03747846666908851,0.7860450941632617,0.27341175723573724,0.04062943343221283,0.722484687123436,0.24955624775997778,0.03803829027978983
2.5,0.6514354532113389,0.29586643851656114,0.05277839090620559,0.6454963357778853,0.2922674371723031,0.05231570685757627,0.7090322941037247,0.33348750997238436,0.05756850682140731,0.657342156961394,0.2994949028145345,0.0532440256845184
3.0,0.5830741515229488,0.34665234495815767,0.07035503016192447,0.578499247839973,0.3419295087610174,0.0696519547756105,0.6262428768388489,0.3961804408693708,0.07766636159911429,0.5876022332443909,0.3514169231597033,0.07106318550536714
3.5,0.5127905528740122,0.3968399590128381,0.09045190496567702,0.509605579375978,0.3910227772306453,0.08945323607737878,0.54141666107948,0.4578123735504675,0.1008616239078326,0.5159165057646338,0.40270847019349904,0.09145826506291975
4.0,0.44339637172058416,0.44378798076560405,0.11289872873607183,0.44151823174188326,0.4370078738096363,0.11155614485851788,0.45861940925552735,0.5145731262883825,0.12689885380057608,0.44520846418482113,0.4506236278901048,0.11425181995955667
4.5,0.37751721168099855,0.4851594697862637,0.13740691163885443,0.3767712205013805,0.47762849566088394,0.13568304101279088,0.38147167752904126,0.5632596008144949,0.155360674073192,0.3781969016872403,0.4927435564746628,0.13914397087527475
5.0,0.317209098044413,0.519271379814022,0.16360351961636216,0.31736467982295496,0.5112444198929752,0.1614740577841187,0.31255686474486577,0.601808751686641,0.18572678079077004,0.31699347864541655,0.5273429510227914,0.16574840778133718
5.5,0.2637521451190156,0.5452588440203051,0.1910733342411761,0.26456366826555494,0.5369927417674006,0.18852707011373593,0.25319233196772395,0.6294596864967407,0.2174407372540818,0.2628916129648323,0.5535569415433607,0.19363661210610877
6.0,0.21764556018640288,0.5630402084251076,0.21939882178560963,0.21888597552520508,0.55476173088168,0.21643603808626313,0.20355114383679063,0.6465747626924596,0.24996714290758176,0.21636954334228847,0.571336416591189,0.22237947636761338
6.5,0.1787507251104443,0.5731431095895139,0.24819097747526642,0.1802317653517321,0.5650312321125589,0.2448209665891807,0.16298649984958524,0.654276853791199,0.28282993975196274,0.17724767366986455,0.5812589699940345,0.2515790166330772
7.0,0.14649848198345583,0.5764780471172438,0.27710846941206896,0.14807759794125075,0.5686596964226086,0.27334685416378113,0.13039411146363478,0.6540682672772788,0.3156311196231317,0.14490958475839696,0.5842885900157446,0.2808876737237539
7.5,0.12009012428341378,0.574128976102853,0.30586605623014196,0.12166800777995286,0.5666839179928199,0.30173237927747143,0.10450766330794652,0.647531816329118,0.3480541926409849,0.11851252290856312,0.5815570626511215,0.3100164226228874
8.0,0.09865376989737255,0.5671964829301053,0.3342350390718009,0.10016699977797801,0.5601665999447005,0.32975083925760684,0.08409278417121516,0.6361428594496965,0.3798581774682946,0.09714850433314988,0.5742029332939699,0.3387347071911509
8.5,0.0813467085217729,0.5566999034672411,0.36203879651312604,0.08275902398226351,0.5500993208352224,0.3572262095996319,0.06804979565272161,0.621177119844201,0.4108670338554311,0.07994781872745198,0.5632730112745576,0.3668654325851508
9.0,0.06741115861727989,0.5435284374616409,0.3891459135645502,0.0687054054047882,0.5373525143736667,0.3840267347685805,0.055452114242767435,0.6036840718776811,0.44095787448736884,0.06613392212680168,0.5496748180545084,0.3942776245585946
9.5,0.05619674103412757,0.5284262265209638,0.41546263030536745,0.05736835340693678,0.522658649792274,0.41005773868264245,0.045546639253886766,0.5844976835793589,0.47004983481325824,0.05504424290123994,0.5341636958240377,0.4208785151137847
10.0,0.04716239490438281,0.5119976540282416,0.44092562624588605,0.04821455021738109,0.5066155977198341,0.4352546704895092,0.037735491889130134,0.5642643060542216,0.49809444475300907,0.04613035012837056,0.5173501138526446,0.4466060679492792
10.5,0.0398673750798742,0.4947227303960453,0.4654956377568674,0.040807610139310224,0.489700376627776,0.45957689903337184,0.03155111738868622,0.5434754743628724,0.5250677258045063,0.03894745565800801,0.49971672220843794,0.4714224227986674
11.0,0.03395765301931559,0.4769760736244848,0.48915207671304817,0.03479562051853189,0.47228688034151217,0.4830024444632351,0.026631217148084453,0.5224992482012037,0.5509639183432443,0.03313966636948225,0.4816385897947453,0.4953084052261881
11.5,0.029151407963518755,0.4590458142720188,0.5118886344127807,0.029897460422194433,0.4546638880107941,0.5055236496488456,0.022696451635223342,0.501607379027173,0.5757906116507524,0.028424652198058196,0.46340299630053994,0.5182590667162018
12.0,0.025225501827356472,0.4411506354068347,0.5337097667840096,0.02588984608356826,0.43705149665884674,0.5271437022356029,0.019531871313820184,0.48099760456565055,0.5995650185405488,0.024579560087672495,0.4452270669454414,0.5402801360252678
12.5,0.02200373489809985,0.4234542854730591,0.5546279258572464,0.02259596419227683,0.41961523936517137,0.5478738832086724,0.01697204211891073,0.4608113446483059,0.622311154084028,0.021428902770382185,0.42727266704091715,0.561385235879389
13.0,0.019347069992831357,0.40607751198627173,0.5746614019415177,0.019875936854205762,0.4024777732459205,0.5677314139812876,0.014889413100186055,0.4411474552579125,0.6440577139545832,0.018834551867651123,0.4096585699335013,0.5815937219586736
13.5,0.017145709441896365,0.3891076536142358,0.5938326545826438,0.01761904630112703,0.3857283260094897,0.5867377851517709,0.013185354237384778,0.4220727780155083,0.6648364871497593,0.01668767524133906,0.3924701852763754,0.6009290172974481
14.0,0.015312783403910185,0.3726062354217891,0.612167029020984,0.015737509606395403,0.36943021084381356,0.6049174669180066,0.01178331331328815,0.40363016573015625,0.6846811735879059,0.014902345263135488,0.37576722740600116,0.6194173356560123
14.5,0.013779377135870291,0.3566149240467112,0.6296917737594413,0.014161553079018898,0.3536267423085199,0.6222969188050631,0.010623616703328046,0.3858445587360466,0.7036265069968494,0.013410523770931554,0.35958970439600696,0.6370867075245038
15.0,0.012490639949428957,0.3411601674627423,0.6464352918553482,0.012835543894147722,0.33834586182901816,0.6389038325516774,0.009659527682348247,0.3687275740922727,0.7217076074196492,0.012158151898816501,0.3439625681455122,0.6539662402158652
15.5,0.011402752390371385,0.32625679580753,0.662426572922044,0.011714965219839429,0.3236037388399534,0.6547665558489519,0.00885425857047689,0.3522809684253246,0.738959506236137,0.011102111875760037,0.3288993120715249,0.6700855583838589
16.0,0.010480566495901948,0.311910809729895,0.6776947645316278,0.010764055932607552,0.30940756741723974,0.6699136560000025,0.00817870299807313,0.33649925105503786,0.7554168007800552,0.010207869652234516,0.3144047491896164,0.6854743833231473
16.5,0.00969577010639453,0.2981215372746832,0.6922688510243251,0.009953969815716147,0.2957577353248438,0.684373591680788,0.007609710726104853,0.3213716571761473,0.7711134063436904,0.009447645609025878,0.3004771554672164,0.7001622189132143
17.0,0.009025457473967139,0.2848833017572579,0.7061774150303237,0.009261338884603785,0.28264950547169965,0.6981744681626294,0.007128771168818209,0.3068836391163281,0.7860823814025568,0.008798993338550908,0.28710992318602196,0.7141781194795912
17.5,0.00845101421363134,0.27218671160900787,0.7194484626771744,0.008667150314382133,0.27007431934434817,0.711343856956085,0.006721005149321282,0.2930179942923005,0.8003558079081728,0.008243693227452624,0.2742928365827458,0.7275505205746129
18.0,0.00795724532852942,0.26001965811637934,0.7321092978288928,0.008155866515673788,0.2580208075722812,0.7239086651731087,0.006374389617462793,0.2797557187918688,0.8139647129918499,0.007766888839588692,0.26201305636293515,0.7403071180840157
18.5,0.007531691320083711,0.24836808733384116,0.7441864340656666,0.007714733803118256,0.2464755735383656,0.7358950432509122,0.006079158945905018,0.26707665326362573,0.8269390217820195,0.0073564107363378395,0.2502558796691462,0.7524747844413032
19.0,0.007164090053409174,0.23721659720998198,0.755705535694712,0.007333237528911706,0.23542380094180906,0.7473283222578022,0.0058273405208001255,0.2549599711811215,0.8393075335519916,0.007002245245253927,0.23900532662659035,0.7640795133158406
19.5,0.006845951818367274,0.22654889921454072,0.7666913810641915,0.007002671187255129,0.22484972460462432,0.7582329739842497,0.005612392853303747,0.2433845471526878,0.8510979153008174,0.006696115582277516,0.2282445927171308,0.775146386118663
20.0,0.006570222531915914,0.2163481747272355,0.7771678429737263,0.006715794423766841,0.21473699485775616,0.7686325885490263,0.005428922271133154,0.23232923369711597,0.8623367082879151,0.006431150306153212,0.21795639714355278,0.785699555185501
