t,S_h=5,I_h=5,R_h=5,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
0.625,,,,,,,,,,0.45714285714285713,0.3047619047619048,0.2380952380952381
1.25,,,,,,,0.42105263157894735,0.30315789473684207,0.27578947368421053,0.417391304347826,0.3062341844950541,0.27637451115711986
1.875,,,,,,,,,,0.38093638463153473,0.30461253707675146,0.3144510782917138
2.5,,,,0.36363636363636365,0.29090909090909095,0.34545454545454546,0.35398230088495575,0.29618258034466693,0.34983511877037726,0.3478263054544951,0.300197881114481,0.3519758134310239
3.125,,,,,,,,,,0.31799464351997875,0.293359593821331,0.3886457626586903
3.75,,,,,,,0.2986904780619704,0.2811795225341218,0.4201299994039077,0.2912906135010322,0.2845009989691356,0.42420838752983225
4.375,,,,,,,,,,0.26750744611038046,0.27403037009758874,0.45846218379203085
5.0,0.2857142857142857,0.2571428571428571,0.45714285714285713,0.26666666666666666,0.25858585858585864,0.4747474747474748,0.2540452727527945,0.2606597822746382,0.48529494497256725,0.24640654696670686,0.2623389059922332,0.49125454704106
5.625,,,,,,,,,,0.2277365017412974,0.24978573441568233,0.5224777638430202
6.25,,,,,,,0.2184560768586951,0.2369991825349901,0.5445447406063147,0.21124697638521225,0.2366891197971267,0.5520639038176611
6.875,,,,,,,,,,0.19669813034255015,0.2233226363020345,0.5799792333554155
7.5,,,,0.2015267175572519,0.2158172051301823,0.582656077312566,0.19027211677447467,0.21214651409536844,0.5975813691301568,0.18386640231377435,0.20991499051627582,0.6062186071699499
8.125,,,,,,,,,,0.17254755295673682,0.19665230210961185,0.6308001449336514
8.75,,,,,,,0.1679971152835481,0.18753721246903599,0.6444656722474158,0.16255775403288236,0.18368186758530342,0.6537603783818143
9.375,,,,,,,,,,0.1537333689341318,0.17111666905249243,0.6751499620133758
10.0,0.17391304347826086,0.18447204968944098,0.641614906832298,0.15871100945286723,0.172421942156378,0.668867048390755,0.15037190978665185,0.1641299343727458,0.6854981558406023,0.1459299184467239,0.15904010625768916,0.695029975295587
10.625,,,,,,,,,,0.1390205904834446,0.1475106081964164,0.713468801320139
11.25,,,,,,,0.13638170917619455,0.1424961079865625,0.7211221828372428,0.1328945421286384,0.13656591693442008,0.7305395409369415
11.875,,,,,,,,,,0.12745515760778584,0.12622693462690904,0.7463179077653052
12.5,,,,0.1305696653458233,0.13370885750894798,0.735721477145229,0.125228821850312,0.12291919624995604,0.7518519818997318,0.12261836379803787,0.11650109194369512,0.760880544258267
13.125,,,,,,,,,,0.11831106134922469,0.10738523946000739,0.7743036991907679
13.75,,,,,,,0.11629455136178696,0.10548277339078486,0.778222675247428,0.1144697000520362,0.09886808956195188,0.7866622103860119
14.375,,,,,,,,,,0.11103900799354371,0.09093225032928388,0.7980287416771724
15.0,0.11902231668437832,0.11968138824166176,0.7612962950739598,0.11187184467258586,0.10160445212145695,0.7865237032059574,0.10910182446986451,0.09014040022616585,0.8007577753039695,0.10797087224867263,0.08355589873258218,0.8084732290187452
15.625,,,,,,,,,,0.10522336206583673,0.0767141412581494,0.8180624966760138
16.25,,,,,,,0.10328308768219736,0.0767673096110664,0.8199496027067361,0.10275988203273363,0.07038010781444666,0.8268600101528196
16.875,,,,,,,,,,0.10054844136283034,0.06452582087497775,0.8349257377621918
17.5,,,,0.0992646781274016,0.07614107911109415,0.8245942427615045,0.09855448597089297,0.06519672905789664,0.8362487849712102,0.09856102540332132,0.05912287718621047,0.8423160974104681
18.125,,,,,,,,,,0.09677305617974344,0.05414297458647853,0.8490839692337779
18.75,,,,,,,0.09469582470453326,0.055244312259405084,0.8500598630360615,0.09516292990000876,0.04955831188107842,0.8552787582189127
19.375,,,,,,,,,,0.0937116206121407,0.045341885483507975,0.8609464939043513
