t,S_alpha=0.9,I_alpha=0.9,R_alpha=0.9,S_alpha=0.8,I_alpha=0.8,R_alpha=0.8,S_alpha=0.7,I_alpha=0.7,R_alpha=0.7,S_alpha=0.6,I_alpha=0.6,R_alpha=0.6
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
0.5,0.45320112256938133,0.302715669908566,0.24919690813323023,0.45362338271839103,0.3017384427441255,0.26246305874915066,0.45506210550715065,0.30042752793593025,0.27878311912110965,0.4558239511127071,0.29747675725697514,0.29752349082472895
1.0,0.41314482872626723,0.300432663974901,0.2923538752809143,0.4146239486396798,0.29597789844411715,0.3087656033712177,0.4169688875369904,0.2908528710469587,0.3269381841373996,0.41881106776306687,0.2837795437597539,0.3453369565962663
1.5,0.3787234580485049,0.29504445930438306,0.332407042745355,0.3831417791111348,0.2875921744645132,0.34863639675217756,0.3884933440940427,0.2796844979151941,0.36517582861392733,0.39372865700393606,0.2702277731012124,0.38010219404756107
2.0,0.34896818981543937,0.28735557443979326,0.36993347119739184,0.3571919191513294,0.27776143180402074,0.384118136108206,0.36626784447075866,0.2682021189826454,0.39741499740886677,0.3753245976291754,0.25772588515945666,0.4078147853102805
2.5,0.3231768476938699,0.2779714483872876,0.40513021281706846,0.33548383024099826,0.2671266934291766,0.41610166113382036,0.3483797748273296,0.2568713557589904,0.42532673402304444,0.361097913797401,0.24631997648412454,0.43087059487672275
3.0,0.300786200788621,0.2673892677925035,0.43809747392993803,0.31713007197742926,0.2561095137549321,0.44511629131054953,0.33366610186700535,0.24591141868869673,0.4498646503731233,0.34970451098937416,0.23592021585610118,0.4505509969691733
3.5,0.2813222956446371,0.25601952902536185,0.4689127862745761,0.3014835269816945,0.24500138256334664,0.47153562724108516,0.3213639054028763,0.2354304709493833,0.47165922861472487,0.3403433191295137,0.22641714016325037,0.46764837951849975
4.0,0.264379252956265,0.2441966979903492,0.4976541056532986,0.2880535521843112,0.23400543458532974,0.4956512325457043,0.31094424540706783,0.22547743129609385,0.49116449300768844,0.33250011187397344,0.2177072718705351,0.4826970931500876
4.5,0.2496079397935767,0.23218829773190905,0.5244063379216344,0.2764583851445243,0.22326163960759013,0.5177043626523502,0.30202526785873074,0.21606724745702627,0.5087254996463669,0.32582624756029205,0.2096987906194821,0.4960788010835999
