t,S_alpha=0.9,I_alpha=0.9,R_alpha=0.9,S_alpha=0.8,I_alpha=0.8,R_alpha=0.8,S_alpha=0.7,I_alpha=0.7,R_alpha=0.7,S_alpha=0.6,I_alpha=0.6,R_alpha=0.6,S_alpha=0.5,I_alpha=0.5,R_alpha=0.5,S_alpha=0.4,I_alpha=0.4,R_alpha=0.4,S_alpha=0.3,I_alpha=0.3,R_alpha=0.3,S_alpha=0.2,I_alpha=0.2,R_alpha=0.2,S_alpha=0.1,I_alpha=0.1,R_alpha=0.1
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
0.5,0.45320112256938133,0.302715669908566,0.24919690813323023,0.45362338271839103,0.3017384427441255,0.26246305874915066,0.45506210550715065,0.30042752793593025,0.27878311912110965,0.4558239511127071,0.29747675725697514,0.29752349082472895,0.4544486098405577,0.29179750791090864,0.3179434657962899,0.4497512172982279,0.28259815333650073,0.3391556018073447,0.4408468967857176,0.2694449702610418,0.36009131681980666,0.42715891612416684,0.252293991986203,0.3794841111142978,0.40841234884216154,0.23148481115919606,0.3958815609115155
1.0,0.41314482872626723,0.300432663974901,0.2923538752809143,0.4146239486396798,0.29597789844411715,0.3087656033712177,0.4169688875369904,0.2908528710469587,0.3269381841373996,0.41881106776306687,0.2837795437597539,0.3453369565962663,0.4194830413807288,0.27407275426233624,0.3624812765322458,0.4188981218402711,0.26159215677166486,0.3770173159771728,0.4173982708488822,0.24663306041185865,0.3878292111073936,0.4155948121501135,0.22976937936327857,0.3941713182534698,0.414221655267057,0.21167929555758377,0.395789340656472
1.5,0.3787234580485049,0.29504445930438306,0.332407042745355,0.3831417791111348,0.2875921744645132,0.34863639675217756,0.3884933440940427,0.2796844979151941,0.36517582861392733,0.39372865700393606,0.2702277731012124,0.38010219404756107,0.39846759820614297,0.25891706640132045,0.39189257735894156,0.4027348666872634,0.24602012022221673,0.3995424328883503,0.40673664755385813,0.23212477325022424,0.4026643527583166,0.41070375296720396,0.21789605255602074,0.40152670223420817,0.41480443633295855,0.20388884645290425,0.3970046503441841
2.0,0.34896818981543937,0.28735557443979326,0.36993347119739184,0.3571919191513294,0.27776143180402074,0.384118136108206,0.36626784447075866,0.2682021189826454,0.39741499740886677,0.3753245976291754,0.25772588515945666,0.4078147853102805,0.3840227943099152,0.2462359616481213,0.4140536397926927,0.392271688690765,0.2341378064519996,0.41566503097162283,0.40004784325377035,0.222021468123571,0.4129474297992645,0.4073114233766219,0.21042592282242778,0.4068323078705146,0.4139923979793592,0.19970634675645366,0.3986719978510869
2.5,0.3231768476938699,0.2779714483872876,0.40513021281706846,0.33548383024099826,0.2671266934291766,0.41610166113382036,0.3483797748273296,0.2568713557589904,0.42532673402304444,0.361097913797401,0.24631997648412454,0.43087059487672275,0.3732711556850223,0.23544648827164555,0.4318274339848046,0.3846933280354541,0.22464546845430383,0.42823909342192823,0.3952056746167073,0.21440352073804775,0.42090376183095,0.4046732947053964,0.20510161147964143,0.4111032174782049,0.4130039926013076,0.19693513408937235,0.4003068394455002
3.0,0.300786200788621,0.2673892677925035,0.43809747392993803,0.31713007197742926,0.2561095137549321,0.44511629131054953,0.33366610186700535,0.24591141868869673,0.4498646503731233,0.34970451098937416,0.23592021585610118,0.4505509969691733,0.3648498313756602,0.22610262929006672,0.4466265829346231,0.37882767494087266,0.21678323139072167,0.4385451869482875,0.3914310440275968,0.20832984869398338,0.42742948000404796,0.40253053726561533,0.2009943362228605,0.4147090871442055,0.4120959382058118,0.19486787361570823,0.40180339269506504
3.5,0.2813222956446371,0.25601952902536185,0.4689127862745761,0.3014835269816945,0.24500138256334664,0.47153562724108516,0.3213639054028763,0.2354304709493833,0.47165922861472487,0.3403433191295137,0.22641714016325037,0.46764837951849975,0.35801649765845184,0.21788960870221663,0.45926558118999117,0.3740860023983859,0.2100927275114027,0.4472711134098991,0.38835270334191513,0.20329515630906209,0.43297706495763477,0.4007394416766147,0.19765975226108418,0.4178396516439427,0.4113010012783403,0.1932185477951398,0.40315676344230683
4.0,0.264379252956265,0.2441966979903492,0.4976541056532986,0.2880535521843112,0.23400543458532974,0.4956512325457043,0.31094424540706783,0.22547743129609385,0.49116449300768844,0.33250011187397344,0.2177072718705351,0.4826970931500876,0.35232583901808984,0.21058244172897256,0.4702614159422718,0.37013368915119493,0.20428148202492744,0.45483051969424126,0.3857636876374266,0.19900303189468344,0.43780914486026684,0.39920841504430704,0.19485653953190155,0.4206101335106961,0.4106068250922088,0.1918466080208471,0.4043835289450287
4.5,0.2496079397935767,0.23218829773190905,0.5244063379216344,0.2764583851445243,0.22326163960759013,0.5177043626523502,0.30202526785873074,0.21606724745702627,0.5087254996463669,0.32582624756029205,0.2096987906194821,0.4960788010835999,0.34749139645544297,0.20401602335226846,0.4799645345491736,0.3667634505828161,0.19915297529036466,0.46149229909138556,0.38353657893175674,0.19526651652897248,0.44209289621046394,0.39787591539146405,0.19244028687949047,0.4230971493398093,0.4099955568075649,0.19067251672330787,0.40550218559523843
