t,alpha=0.05,alpha=0.1,alpha=0.15,alpha=0.2,alpha=0.25,alpha=0.3,alpha=0.35,alpha=0.4,alpha=0.45,alpha=0.5,alpha=0.55,alpha=0.6,alpha=0.65,alpha=0.7,alpha=0.75,alpha=0.8,alpha=0.85,alpha=0.9,alpha=0.95
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.005,1.019505825802587,1.035778720912873,1.048889544887184,1.0589370192246677,1.0660489390982628,1.070383183866566,1.0721284928987687,1.0715049724420733,1.068764298851609,1.0641895835477562,1.0580948656271651,1.0508241991944112,1.042750304263611,1.0342727525641906,1.0258156628302093,1.0178248842116673,1.010764651366319,1.0051137006111777,1.0013608432635839
0.01,1.0112061895371312,1.0216902914811126,1.0312080498986909,1.039535509766862,1.0464748623338918,1.0518605423681344,1.0555655046810897,1.0575075945891088,1.0576559140384565,1.0560370721753107,1.0527411964434021,1.047927568119087,1.0418297348623766,1.0347599427213487,1.0271127214560953,1.0193674504550148,1.0120897283332202,1.0059313679820825,1.0016288408452563
0.015,1.0078976098075336,1.0156979331300469,1.023181867554945,1.0301265077574329,1.0363114087889183,1.041525773562399,1.045576552344981,1.0482974197978305,1.0495585699908894,1.0492772419664047,1.0474288580165043,1.0440586241527094,1.0392934076587679,1.033353670623164,1.0265652015544386,1.0193703503278257,1.0123384356636338,1.0061749600982428,1.001729236113008
0.02,1.0061157258886615,1.0123707425868997,1.0185866066918419,1.0245696540695641,1.0301158167644378,1.035016741176606,1.039067294439948,1.0420745261143876,1.0438681270029992,1.0443123957507292,1.0433196865995762,1.0408652680989126,1.0370034726721673,1.0318849608622709,1.0257748621539946,1.0190714870635562,1.0123252335113426,1.0062572354526242,1.0017772247429095
0.025,1.0049998011323575,1.0102459661361802,1.015593829902901,1.0208781236632427,1.0259162429526067,1.0305129571857052,1.0344667399474283,1.037577889911686,1.0396585961931235,1.0405450779414722,1.0401118951573187,1.0382884851582483,1.0350779260777514,1.0305778646093644,1.0250034694918126,1.0187121848039955,1.012229958159049,1.0062785088982258,1.0018030813844865
0.03,1.0042341527435494,1.0087672045165852,1.0134809166498022,1.0182339606326813,1.0228638578074367,1.0271903727256282,1.0310206129546386,1.0341560932798817,1.0364020203793816,1.03757904360035,1.0375376968157473,1.0361757238146485,1.0334584336200971,1.0294421709288253,1.0243009090527888,1.018355877042911,1.0121080181161726,1.0062729425110626,1.0018178843947951
0.035,1.003675611869351,1.007676312515787,1.0119045918029324,1.0162388455816416,1.0205342314767105,1.0246249246086119,1.0283280817888178,1.0314498433196875,1.0337937160262516,1.0351716875506596,1.0354184180445647,1.0344088388112636,1.0320794556450823,1.0284536049669843,1.0236708407194741,1.0180205367861266,1.0119796710435727,1.006254610944575,1.0018265451334345
0.04,1.0032497920181676,1.0068369620580846,1.0106804984481403,1.0146750880869049,1.018691096976501,1.022575864392377,1.0261566602349683,1.0292456908703635,1.0316475701174963,1.0331696966893342,1.0336359947066014,1.0329044768945959,1.0308890774466004,1.0275861697108502,1.0231061290317836,1.0177102193153456,1.0118529692338816,1.0062300565999127,1.001831533774997
0.045,1.0029141841086455,1.0061702591261112,1.0097005593400508,1.013413351610764,1.017192108129227,1.0208959916711933,1.0243619323564757,1.0274087249645665,1.0298436236841662,1.031471954356885,1.0321102999018938,1.0316038392633742,1.0298484299841004,1.026818014962124,1.0225979002252017,1.017424387404465,1.0117311464629288,1.00620257544712,1.0018342089283565
