t,y0=0.25_h=5,y0=0.25_h=2.5,y0=0.25_h=1.25,y0=0.25_h=0.625,y0=0.5_h=5,y0=0.5_h=2.5,y0=0.5_h=1.25,y0=0.5_h=0.625,y0=0.75_h=5,y0=0.75_h=2.5,y0=0.75_h=1.25,y0=0.75_h=0.625,scheme
0.0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,Voorwaartse Euler
0.625,,,,0.279296875,,,,0.578125,,,,0.837890625,Voorwaartse Euler
1.25,,,0.30859375,0.3144341902807355,,,0.65625,0.6662516593933105,,,0.92578125,0.909022263251245,Voorwaartse Euler
1.875,,,,0.356797384076935,,,,0.7588441443861783,,,,0.9560077992701543,Voorwaartse Euler
2.5,,0.3671875,0.39089711010456085,0.4079739502736898,,0.8125,0.8413009643554688,0.8456368053461977,,1.1015625,1.0052946656942368,0.9811369942636565,Voorwaartse Euler
3.125,,,,0.46956047545885626,,,,0.9146276606524911,,,,0.9924858014311001,Voorwaartse Euler
3.75,,,0.507236181356729,0.5426573759120449,,,0.9817074192993337,0.9592637216246687,,,0.9986060643294935,0.9971118617337136,Voorwaartse Euler
4.375,,,,0.6268304362562475,,,,0.9826918398819376,,,,0.9989065365286804,Voorwaartse Euler
5.0,0.484375,0.5804874897003174,0.6657142879512543,0.718470711265542,1.125,1.1219482421875,1.0037442501985334,0.9931382151018745,1.453125,0.7934625148773193,1.0003436296616128,0.9995884574374345,Voorwaartse Euler
5.625,,,,0.8092991267148639,,,,0.9973681774737874,,,,0.9998454598735006,Voorwaartse Euler
6.25,,,0.8508983404347068,0.8873631342524207,,,0.9990288233112725,0.9990044198337159,,,0.9999137973305157,0.9999420176015561,Voorwaartse Euler
6.875,,,,0.9427954903572637,,,,0.9996254190795585,,,,0.9999782523982572,Voorwaartse Euler
7.5,,0.9338908333822271,0.9858405582443545,0.974574859927128,,0.7381869231294331,1.0002404373567781,0.9998593567991005,,1.1185436159936417,1.0000215320909214,0.9999918440581552,Voorwaartse Euler
8.125,,,,0.9896677976444442,,,,0.999947234075764,,,,0.9999969414386594,Voorwaartse Euler
8.75,,,1.0030421844912274,0.9959926704898464,,,0.9999397461181243,0.9999802092981999,,,0.9999946158181798,0.9999988530278039,Voorwaartse Euler
9.375,,,,0.9984772182917272,,,,0.99999257799724,,,,0.999999569883782,Voorwaartse Euler
10.0,1.0892524719238281,1.0780339527479206,0.9992162814671566,0.9994260604861863,0.333984375,1.094854834210233,1.0000150543944166,0.9999972166801077,-3.3309059143066406,0.747757019791722,1.0000013459729815,0.999999838706187,Voorwaartse Euler
10.625,,,,0.9997843610422751,,,,0.9999989562453568,,,,0.9999999395147876,Voorwaartse Euler
11.25,,,1.0001943946980785,0.9999190772719201,,,0.9999962358348047,0.9999996085906471,,,0.9999996635022255,0.9999999773180408,Voorwaartse Euler
11.875,,,,0.9999696457916913,,,,0.9999998532213011,,,,0.9999999914942647,Voorwaartse Euler
12.5,,0.8513146520324284,0.9999513068430512,0.9999886160201793,,0.8105969242218501,1.0000009410058766,0.999999944957961,,1.100355223224542,1.0000000841241605,0.9999999968103492,Voorwaartse Euler
13.125,,,,0.9999957308455744,,,,0.9999999793592316,,,,0.999999998803881,Voorwaartse Euler
13.75,,,1.0000121673618227,0.9999983990443083,,,0.999999764746317,0.9999999922597113,,,0.9999999789689421,0.9999999995514554,Voorwaartse Euler
14.375,,,,0.9999993996384118,,,,0.9999999970973916,,,,0.9999999998317958,Voorwaartse Euler
15.0,0.5597751472317889,1.1207089495880926,0.9999969577894303,0.9999997748639539,0.7054398134350777,1.1217233780852036,1.0000000588132825,0.9999999989115218,236.92467502955162,0.796584574529395,1.0000000052577633,0.9999999999369235,Voorwaartse Euler
15.625,,,,0.9999999155739193,,,,0.9999999995918207,,,,0.9999999999763463,Voorwaartse Euler
16.25,,,1.0000007605295047,0.9999999683402108,,,0.9999999852966708,0.9999999998469328,,,0.9999999986855592,0.9999999999911299,Voorwaartse Euler
16.875,,,,0.9999999881275778,,,,0.9999999999425998,,,,0.9999999999966737,Voorwaartse Euler
17.5,,0.741686303269665,0.9999998098661778,0.9999999955478415,,0.7388232183515829,1.0000000036758316,0.9999999999784749,,1.1192761865503356,1.0000000003286103,0.9999999999987527,Voorwaartse Euler
18.125,,,,0.9999999983304405,,,,0.9999999999919281,,,,0.9999999999995323,Voorwaartse Euler
18.75,,,1.0000000475333652,0.9999999993739151,,,0.9999999990810421,0.9999999999969731,,,0.9999999999178475,0.9999999999998246,Voorwaartse Euler
19.375,,,,0.9999999997652181,,,,0.9999999999988649,,,,0.9999999999999343,Voorwaartse Euler
20.0,1.2494935073085043,1.0969312928138146,0.9999999881166528,0.9999999999119568,1.438372320233548,1.0952379488706545,1.0000000002297396,0.9999999999995743,-66215917.811562955,0.7457093780698145,1.0000000000205382,0.9999999999999754,Voorwaartse Euler
20.625,,,,0.9999999999669837,,,,0.9999999999998403,,,,0.9999999999999908,Voorwaartse Euler
21.25,,,1.0000000029708365,0.9999999999876189,,,0.999999999942565,0.9999999999999402,,,0.9999999999948654,0.9999999999999966,Voorwaartse Euler
21.875,,,,0.999999999995357,,,,0.9999999999999776,,,,0.9999999999999987,Voorwaartse Euler
22.5,,0.8053478457073697,0.9999999992572909,0.999999999998259,,0.8096321581291962,1.0000000000143587,0.9999999999999916,,1.0992257750802072,1.0000000000012836,0.9999999999999996,Voorwaartse Euler
23.125,,,,0.9999999999993471,,,,0.9999999999999969,,,,0.9999999999999998,Voorwaartse Euler
23.75,,,1.0000000001856773,0.9999999999997552,,,0.9999999999964103,0.9999999999999989,,,0.9999999999996791,0.9999999999999999,Voorwaartse Euler
24.375,,,,0.9999999999999082,,,,0.9999999999999996,,,,1.0,Voorwaartse Euler
25.0,-0.698095255582736,1.1209690886898251,0.9999999999535807,0.9999999999999656,-3.096402874453851,1.1215994728378083,1.0000000000008975,0.9999999999999998,1.4516342963575822e+24,0.7994901836393872,1.0000000000000802,1.0,Voorwaartse Euler
25.625,,,,0.9999999999999871,,,,0.9999999999999999,,,,1.0,Voorwaartse Euler
26.25,,,1.000000000011605,0.9999999999999951,,,0.9999999999997756,1.0,,,0.99999999999998,1.0,Voorwaartse Euler
26.875,,,,0.9999999999999982,,,,1.0,,,,1.0,Voorwaartse Euler
27.5,,0.7409532557996698,0.9999999999970988,0.9999999999999993,,0.7391735759927349,1.0000000000000562,1.0,,1.1198971273646212,1.0000000000000049,1.0,Voorwaartse Euler
28.125,,,,0.9999999999999998,,,,1.0,,,,1.0,Voorwaartse Euler
28.75,,,1.0000000000007252,0.9999999999999999,,,0.999999999999986,1.0,,,0.9999999999999988,1.0,Voorwaartse Euler
29.375,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
30.0,3.4396278622720473,1.0965025069989633,0.9999999999998187,1.0,193.27922672799454,1.0954478488960113,1.0000000000000036,1.0,-1.529472473581237e+73,0.7439688039244684,1.0000000000000002,1.0,Voorwaartse Euler
30.625,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
31.25,,,1.0000000000000453,1.0,,,0.9999999999999991,1.0,,,1.0,1.0,Voorwaartse Euler
31.875,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
32.5,,0.806435814805573,0.9999999999999887,1.0,,0.8091028729597428,1.0000000000000002,1.0,,1.0982453026576167,1.0,1.0,Voorwaartse Euler
33.125,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
33.75,,,1.0000000000000029,1.0,,,1.0,1.0,,,1.0,1.0,Voorwaartse Euler
34.375,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
35.0,-140.87704419351968,1.1211415275443815,0.9999999999999993,1.0,-35914546.994172074,1.1215286708431376,1.0,1.0,1.7889368086981366e+220,0.8020006551273673,1.0,1.0,Voorwaartse Euler
35.625,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
36.25,,,1.0000000000000002,1.0,,,1.0,1.0,,,1.0,1.0,Voorwaartse Euler
36.875,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
37.5,,0.7404668987343138,1.0,1.0,,0.7393736960180174,1.0,1.0,,1.1203861018325278,1.0,1.0,Voorwaartse Euler
38.125,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
38.75,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,Voorwaartse Euler
39.375,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
40.0,14078560.530581167,1.096216205811989,1.0,1.0,2.3162274009274762e+23,1.0955674059699967,1.0,1.0,,0.7425949463700787,1.0,1.0,Voorwaartse Euler
40.625,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
41.25,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,Voorwaartse Euler
41.875,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
42.5,,0.8071610821503834,1.0,1.0,,0.8088011719885064,1.0,1.0,,1.0974582215858542,1.0,1.0,Voorwaartse Euler
43.125,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
43.75,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,Voorwaartse Euler
44.375,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
45.0,-1.3952265462124483e+22,1.1212518145182198,1.0,1.0,-6.213175046394398e+70,1.1214874178376202,1.0,1.0,,0.8040079718045345,1.0,1.0,Voorwaartse Euler
45.625,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
46.25,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,Voorwaartse Euler
46.875,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
47.5,,0.7401556543951625,1.0,1.0,,0.739490269255251,1.0,1.0,,1.1207452099694317,1.0,1.0,Voorwaartse Euler
48.125,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
48.75,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,Voorwaartse Euler
49.375,,,,1.0,,,,1.0,,,,1.0,Voorwaartse Euler
50.0,1.3580138417892006e+67,1.0960322291506166,1.0,1.0,1.1992528862975713e+213,1.0956369375318982,1.0,1.0,,0.7415841728776259,1.0,1.0,Voorwaartse Euler
