t,y0=0.25_h=5,y0=0.25_h=2.5,y0=0.25_h=1.25,y0=0.25_h=0.625,y0=0.5_h=5,y0=0.5_h=2.5,y0=0.5_h=1.25,y0=0.5_h=0.625,y0=0.75_h=5,y0=0.75_h=2.5,y0=0.75_h=1.25,y0=0.75_h=0.625,scheme
0.0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,Niet-Standaard
0.625,,,,0.2690220350953928,,,,0.5430774922697911,,,,0.790593232782284,Niet-Standaard
1.25,,,0.27734749243722223,0.29024142691275767,,,0.5580976203287015,0.5881519093452091,,,0.8018136887849344,0.8272832347936101,Niet-Standaard
1.875,,,,0.3139091648261762,,,,0.6343203509547543,,,,0.8595499876714533,Niet-Standaard
2.5,,0.28343615644334663,0.3090065476117173,0.34027481437224333,,0.5679560007680935,0.6187023162113313,0.6804671084556979,,0.8085467786553726,0.8465792972558877,0.8872205817546498,Niet-Standaard
3.125,,,,0.36956666919530323,,,,0.7253666059553828,,,,0.9104230151915418,Niet-Standaard
3.75,,,0.34553920625281803,0.4019623545388641,,,0.6794410268170721,0.76782582151798,,,0.8836661439993708,0.9295047189771929,Niet-Standaard
4.375,,,,0.43754875909108115,,,,0.806832585727326,,,,0.9449427103743256,Niet-Standaard
5.0,0.2855306456088316,0.3230494259572152,0.3874044064664796,0.47627243884014925,0.5711527567158897,0.6383445365063665,0.7376416883755195,0.8416700557224844,0.8106329457384466,0.857596882969351,0.9132938913134634,0.9572651213655885,Niet-Standaard
5.625,,,,0.51788574648455,,,,0.8719692319387696,,,,0.96699351751762,Niet-Standaard
6.25,,,0.43481951272988206,0.5618996544428237,,,0.7908421251032862,0.8976945146830227,,,0.936260926424232,0.9746069796466149,Niet-Standaard
6.875,,,,0.6075598348397796,,,,0.9190789696364706,,,,0.9805241832510404,Niet-Standaard
7.5,,0.36962479710425555,0.4875772448836627,0.6538644483379105,,0.7073614961350188,0.8372658375031812,0.9365362356167481,,0.8966402260266044,0.9536429401851816,0.9850981854298162,Niet-Standaard
8.125,,,,0.6996360101263384,,,,0.9505737359461216,,,,0.9886190196393214,Niet-Standaard
8.75,,,0.5448537321794127,0.743644056141106,,,0.8760704280183712,0.9617225340826496,,,0.9665567282954851,0.991320360033653,Niet-Standaard
9.375,,,,0.7847548856870524,,,,0.9704892223797519,,,,0.9933877542535688,Niet-Standaard
10.0,0.3279293177156877,0.4235979120588011,0.6050859996197065,0.8220701505470333,0.6446220040542346,0.7711034631061061,0.9073059268150915,0.9773283263410162,0.8609202122642788,0.9264239643160039,0.976017829780657,0.9949669322150092,Niet-Standaard
10.625,,,,0.8550174100117564,,,,0.9826304838375306,,,,0.9961714100975323,Niet-Standaard
11.25,,,0.6660231013831309,0.883373571313798,,,0.9316688411331129,0.9867211179005827,,,0.9828780223692303,0.9970890613801515,Niet-Standaard
11.875,,,,0.9072262830262859,,,,0.9898651578870584,,,,0.9977875890343795,Niet-Standaard
12.5,,0.48470831040395795,0.72501881481716,0.9268959479007717,,0.8265392381674471,0.9501967107509375,0.9922746166357425,,0.9483950964742623,0.987814831741922,0.9983189692861021,Niet-Standaard
13.125,,,,0.9428456300468382,,,,0.9941169904173008,,,,0.9987229967934461,Niet-Standaard
13.75,,,0.7795182027751166,0.9556000366403047,,,0.9640127820943133,0.9955233297040551,,,0.9913481190292662,0.9990300770724311,Niet-Standaard
14.375,,,,0.9656845007749213,,,,0.9965954218092008,,,,0.9992634055880434,Niet-Standaard
15.0,0.3780405070244782,0.5516285166560718,0.827560157572578,0.9735859751048673,0.7160670708098137,0.8721324189026995,0.9741629600651577,0.9974118888913116,0.9004327095420435,0.9641975722057425,0.9938669723787369,0.9994406565604699,Niet-Standaard
15.625,,,,0.9797327476980657,,,,0.9980332060203763,,,,0.9995752851163321,Niet-Standaard
16.25,,,0.8680878729017085,0.9844876633018903,,,0.9815377988668254,0.9985057423217054,,,0.9956575992370752,0.9996775274759605,Niet-Standaard
16.875,,,,0.9881498198618344,,,,0.9988649657483576,,,,0.9997551669981599,Niet-Standaard
17.5,,0.6217634022441735,0.9009687193990155,0.9909608117594684,,0.9078604932801051,0.9868528324108734,0.9991379564234567,,0.9753545768460055,0.996927988913469,0.9998141196282898,Niet-Standaard
18.125,,,,0.9931128441926339,,,,0.9993453616734951,,,,0.999858880596974,Niet-Standaard
18.75,,,0.9267815915243252,0.9947570943534405,,,0.9906608836849106,0.9995029075897045,,,0.9978280052748395,0.9998928648331619,Niet-Standaard
19.375,,,,0.9960114501958804,,,,0.9996225624472492,,,,0.9999186661392045,Niet-Standaard
20.0,0.4362226442044332,0.6914668409963837,0.9465129970355733,0.9969672447900304,0.7811891904743196,0.9347761250340039,0.9933776952971559,0.9997134291428935,0.9301336699433913,0.9831280675253755,0.998464984498606,0.9999382543759343,Niet-Standaard
20.625,,,,0.9976948905851468,,,,0.9997824280300567,,,,0.9999531254045221,Niet-Standaard
21.25,,,0.9612845836744157,0.9982484695090776,,,0.9953101053460215,0.9998348183802268,,,0.9989154789954897,0.9999644150578875,Niet-Standaard
21.875,,,,0.9986694032830244,,,,0.999874596032878,,,,0.9999729857442375,Niet-Standaard
22.5,,0.7567685778451978,0.97216889364786,0.9989893492163815,,0.9544424058948217,0.9966816191116902,0.9999047962996006,,0.9884939460277523,0.9992339236037893,0.999979492239243,Niet-Standaard
23.125,,,,0.9992324627191118,,,,0.9999277245063479,,,,0.9999844316591251,Niet-Standaard
23.75,,,0.9800944287795588,0.9994171523442384,,,0.9976535460294884,0.9999451313507989,,,0.9994589445106065,0.9999881814131125,Niet-Standaard
24.375,,,,0.9995574339219606,,,,0.9999583462211933,,,,0.9999910280238045,Niet-Standaard
25.0,0.5019065561674494,0.8143562135984006,0.9858154567359999,0.9996639711999012,0.8368680718171108,0.9684876082005812,0.9983415540779687,0.9999683785181279,0.9517051680379659,0.9921740286895658,0.9996179096789242,0.9999931890111103,Niet-Standaard
